municipality,income,
Koebenhavn,278242,
Frederiksberg,329362,
Dragoer,368217,
Taarnby,290450,
Albertslund,241138,
Ballerup,277526, 
Broendby,241989, 
Gentofte,591074, 
Gladsaxe,301819, 
Glostrup,269703, 
Herlev,278171, 
Hvidovre,271403, 
Hoeje Taastrup,260416, 
Ishoej,241416, 
Lyngby-Taarbæk,403789, 
Roedovre,272339, 
Vallensbaek,291164, 
Alleroed,352616, 
Egedal,315613, 
Fredensborg,328507, 
Frederikssund,280413, 
Furesoe,365138, 
Gribskov,286016, 
Halsnaes,260823, 
Helsingoer,299652, 
Hilleroed,305073, 
Hoersholm,439441, 
Rudersdal,502623, 
Bornholm,236127, 
Greve,299792, 
Koege,278321, 
Lejre,295695, 
Roskilde,311527, 
Solroed,332367, 
Faxe,258606, 
Guldborgsund,241655, 
Holbaek,271143, 
Kalundborg,267582, 
Lolland,231158, 
Naestved,259892, 
Odsherred,246646, 
Ringsted,268728, 
Slagelse,250311, 
Soroe,268808, 
Stevns,268714, 
Vordingborg,247641, 
Assens,249635, 
Faaborg-Midtfyn,249583, 
Kerteminde,263775, 
Langeland,229432, 
Middelfart,280047, 
Nordfyns,247290, 
Nyborg,253160, 
Odense,250388, 
Svendborg,260178, 
Aeroe,229051, 
Billund,398267, 
Esbjerg,264152, 
Fanoe,272888, 
Fredericia,260495, 
Haderslev,247184, 
Kolding,270148, 
Soenderborg,249699, 
Toender,243142, 
Varde,259817, 
Vejen,366280, 
Vejle,282591, 
Aabenraa,250127, 
Favrskov,283020, 
Hedensted,269899, 
Horsens,263504, 
Norddjurs,244016, 
Odder,278060, 
Randers,251503, 
Samsoe,247977, 
Silkeborg,284074, 
Skanderborg,302544, 
Syddjurs,266461, 
Aarhus,270915, 
Herning,267283, 
Holstebro,262664, 
Ikast-Brande,255966, 
Lemvig,267617, 
Ringkoebing-Skjern,260479, 
Skive,252070, 
Struer,248497, 
Viborg,261294, 
Broenderslev,250474, 
Frederikshavn,251119, 
Hjoerring,251445, 
Jammerbugt,247982, 
Laesoe,236223, 
Mariagerfjord,255881, 
Mors,239931, 
Rebild,283758, 
Thisted,245630, 
Vesthimmerland,248423, 
Aalborg,256494, 
 , , 
 , , 
 , , 
 , , 
 , , 
