municipality,population
Copenhagen,667 099
Frederiksberg,105 840
Dragoer,14 450
Taarnby,44 034
Albertslund,28 117
Ballerup,52 939
Broendby,40 401
Gentofte,75 076
Gladsaxe,70 958
Glostrup,24 869
Herlev,30 784
Hvidovre,53 760
Hoeje Taastrup,59 059
Ishoej,24 365
Lyngby-Taarbaek,58 713
Roedovre,44 734
Vallensbaek,18 322
Alleroed,26 128
Egedal,45 563
Fredensborg,42 186
Frederikssund,47 052
Furesoe,42 540
Gribskov,41 797
Halsnaes,31 633
Helsingoer,63 953
Hilleroed,54 855
Hoersholm,25 168
Rudersdal,57 342
Bornholm,38 966
Christiansoe,90
Greve,53 536
Koege,63 335
Lejre,29 594
Roskilde,91 623
Solroed,24 732
Faxe,37 820
Guldborgsund,59 350
Holbaek,74 490
Kalundborg,48 103
Lolland,39 122
Naestved,84 895
Odsherred,32 225
Ringsted,36 286
Slagelse,80 481
Soroe,30 641
Stevns,23 612
Vordingborg,45 057
Assens,40 469
Faaborg-Midtfyn,52 284
Kerteminde,23 949
Langeland,11 973
Middelfart,40 318
Nordfyns,29 342
Nyborg,32 329
Odense,210 803
Svendborg,60 001
Aeroe,5 881
Billund,27 168
Esbjerg,115 157
Fanoe,3 270
Fredericia,52 616
Haderslev,55 354
Kolding,95 897
Soenderborg,74 096
Toender,36 399
Varde,49 410
Vejen,42 702
Vejle,122 433
Aabenraa,58 621
Favrskov,49 359
Hedensted,48 167
Horsens,97 921
Norddjurs,36 658
Odder,24 083
Randers,100 356
Samsoe,3 656
Silkeborg,101 574
Skanderborg,65 760
Syddjurs,44 101
Aarhus,373 388
Herning,90 006
Holstebro,59 201
Ikast-Brande,43 009
Lemvig,18 800
Ringkoebing-Skjern,55 582
Skive,44 328
Struer,20 229
Viborg,97 621
Broenderslev,36 706
Frederikshavn,57 882
Hjoerring,63 311
Jammerbugt,37 954
Laesoe,1 719
Mariagerfjord,41 606
Morsoe,19 520
Rebild,30 942
Thisted,42 698
Vesthimmerland,35 818
Aalborg,224 612
